region_name;year;criminality;salary;unemployee
Алтайский край;2010;1,980848675;12050,7;4,560774436
Алтайский край;2011;1,862957003;13822,6;4,278831685
Алтайский край;2012;1,752067216;16009,7;3,0955185
Алтайский край;2013;1,880156713;18011,3;4,00009354
Алтайский край;2014;1,846778838;19456;3,492445738
Алтайский край;2015;2,040580596;20090;3,980984487
Алтайский край;2016;1,879870632;21202;4,202254782
Алтайский край;2017;1,698771778;22743;3,315987243
Алтайский край;2018;1,640566709;45635;3,002416882
Алтайский край;2019;1,593904127;49932;2,844407895
Амурская область;2010;2,222817998;21207,5;3,556580931
Амурская область;2011;2,192542858;24202,1;3,268392891
Амурская область;2012;2,185440164;26789;2,771593184
Амурская область;2013;2,077040527;30541,7;3,152964472
Амурская область;2014;2,128620283;32397;2,901407895
Амурская область;2015;2,410925734;32902;2,974692398
Амурская область;2016;2,32120639;33837;3,059149953
Амурская область;2017;2,312870584;37368;3,035666077
Амурская область;2018;2,203543815;42315;2,861867609
Амурская область;2019;2,464316799;47234;2,763703246
Архангельская область;2010;1,952182692;22192,1;3,700496919
Архангельская область;2011;1,969722943;24611,4;3,176162867
Архангельская область;2012;1,8515391;28531,3;2,826608517
Архангельская область;2013;1,727594734;32465,3;3,191121433
Архангельская область;2014;1,605653301;35572;3,733556537
Архангельская область;2015;1,892846447;38300;3,547888735
Архангельская область;2016;1,709014509;40790;3,605136788
Архангельская область;2017;1,6540143;42950;3,27407447
Архангельская область;2018;1,64948059;48307;3,198054236
Архангельская область;2019;1,679342855;52434;3,064121081
Астраханская область;2010;2,574171591;16582,1;4,261421272
Астраханская область;2011;2,240943672;17022,8;4,625508452
Астраханская область;2012;2,044743426;19522,1;4,043055739
Астраханская область;2013;1,70364212;22735,8;3,925419976
Астраханская область;2014;1,550590734;24576;3,895467866
Астраханская область;2015;1,448493857;25499;3,888206942
Астраханская область;2016;1,363735416;27493;3,923254668
Астраханская область;2017;1,319203685;29599;3,927066658
Астраханская область;2018;1,321828331;33630;3,802951397
Астраханская область;2019;1,298117482;36093;3,817217929
Белгородская область;2010;1,099299182;15938,4;2,647207988
Белгородская область;2011;1,036036065;17667,6;2,162541968
Белгородская область;2012;0,967677567;20002,1;1,915206018
Белгородская область;2013;0,967880374;22220,9;2,089338016
Белгородская область;2014;0,924695768;23895;2,09977607
Белгородская область;2015;1,019472098;25456;2,118154699
Белгородская область;2016;0,883983242;27091;2,097131808
Белгородская область;2017;0,821467477;29066;2,071717256
Белгородская область;2018;0,849967746;31852;2,104094736
Белгородская область;2019;0,917467338;34615;2,063122786
Брянская область;2010;1,832550449;12325,6;4,052314421
Брянская область;2011;1,532973458;13912;3,580639192
Брянская область;2012;1,487878473;16530;2,593243588
Брянская область;2013;1,527082071;18973,9;2,67095147
Брянская область;2014;1,381517876;20911;2,573581985
Брянская область;2015;1,409130102;21679;2,356793076
Брянская область;2016;1,293479461;22923;2,343159177
Брянская область;2017;1,188314103;24743;2,221827406
Брянская область;2018;1,185068813;27251;1,989824019
Брянская область;2019;1,201080965;29853;1,877143519
Владимирская область;2010;1,775086115;14484,4;3,226536216
Владимирская область;2011;1,658926957;16313,9;3,082912934
Владимирская область;2012;1,524560969;18343,4;2,388009282
Владимирская область;2013;1,314962424;20927,3;2,059073135
Владимирская область;2014;1,334334184;22581;2,331377748
Владимирская область;2015;1,523344679;23877;3,016005537
Владимирская область;2016;1,37349171;25135;2,939608134
Владимирская область;2017;1,3191779;26975;2,554177553
Владимирская область;2018;1,258171042;30460;2,465251434
Владимирская область;2019;1,232426162;33076;2,131692741
Волгоградская область;2010;1,730978786;14856,1;4,036677921
Волгоградская область;2011;1,538426051;16191,5;3,534185644
Волгоградская область;2012;1,511946708;18583,7;3,107210205
Волгоградская область;2013;1,417161996;21045,9;3,459075551
Волгоградская область;2014;1,420729298;22828;3,37905504
Волгоградская область;2015;1,634069022;24361;3,710241187
